"","MEbrown","MEyellow","MEdarkmagenta","MEskyblue","MEblue","MEred","MEdarkslateblue","MEwhite","MEtan","MEblack","MEmediumpurple3","MEbrown4","MEplum2","MEivory","MElightcyan","MEsaddlebrown","MEorange","MEsienna3","MEgrey60","MEorangered4","MElightyellow","MEyellowgreen","MEmidnightblue","MElightcyan1","MEthistle2","MEcyan","MEpink","MEbisque4","MEthistle1","MEdarkgreen","MEgreen","MEdarkolivegreen","MEviolet","MEdarkorange","MEgreenyellow","MEfloralwhite","MEroyalblue","MEdarkred","MEsteelblue","MEturquoise","MEdarkgrey","MEmagenta","MEdarkorange2","MElightgreen","MEdarkturquoise","MEpaleturquoise","MEsalmon","MEplum1","MEskyblue3","MElightsteelblue1","MEpurple"
"RIL_143",-0.100590355125138,-0.0640433399467627,-0.0496173726641397,0.0809880348647746,-0.0601492120828585,-0.0999916073393225,-0.118474742674338,-0.0153801883578475,0.109900715760734,0.0420479439016835,-0.00204716584192899,-0.0818945456883255,-0.101090721758708,-0.0843285831346709,-0.0892725526831398,-0.0678389466359113,-0.109822538769472,-0.118769121247926,-0.143957105559403,0.0874596721271998,0.0988518857076158,-0.102124952493618,-0.0360175921624757,0.0786081122195551,0.122246151997944,-0.0681623198691725,-0.0780975793458043,-0.0874939234111881,-0.0658212127635137,0.0451210739339235,0.156339026712583,0.0932285018453701,0.0957358827755649,0.10985315134385,-0.0823184135070417,-0.100134609644747,-0.0450316680211558,-0.0867957298213954,0.0394829712915363,0.0780834493226252,0.0165285196538222,0.0540396855511916,0.0932071147275157,0.0906309633976033,0.126015335197168,-0.08834160814002,0.128112165432352,-0.110767447046662,-0.0875728887913824,-0.0949032855186416,0.111767228129758
"RIL_146",-0.0147585963055988,0.00178573146704384,-0.0624812463917832,0.103735059093827,-0.0241245231958665,-0.0433502042510905,-0.0728867212772815,-0.0749290341508824,-0.0406330100520031,0.053662334363592,0.0300805563306984,-0.0564347762214642,-0.0561373973699098,0.112726902036057,0.104425791500592,-0.0717476141643638,0.0375568826688811,0.0577364430500614,0.0698172185583032,0.0101867628234611,-0.0665597180866775,-0.0644781728816931,-0.148237512423616,0.111203875899474,0.110398239061406,-0.0850718833556041,0.0653243245229061,-0.0613771164886712,0.0983319072513875,0.165054030016672,0.0430488324385897,0.115138039160686,0.107277859793834,0.0941549473386516,0.109865819310057,0.116730551232552,-0.029969990180998,-0.0673442212949227,0.0242254451693808,0.0599908307858462,0.0912818887765724,0.137251130261201,-0.0627251684220649,-0.0333056905644414,0.0200071365011257,-0.0195290799389019,-0.0144728571201632,0.082681592202452,0.109956705767807,-0.00263382988596233,-0.0551469820067214
"RIL_147",-0.072226083237047,-0.0582933976738588,-0.0580896620367272,0.0723378172882952,-0.0740679392097576,-0.0623998515767606,0.0778897617418476,0.118710887756597,-0.0484337979501476,0.0886716656547447,0.0311964525458499,-0.0669443699645534,-0.00129892751617651,0.0935689998330342,-0.0615473481610821,-0.0744677326614465,-0.0883319890597783,-0.114665537201102,-0.114000412742365,0.0772888178124242,0.0970508165356694,0.102621396326478,-0.00330442502899142,-0.0713933453357716,-0.0570209814811421,0.0843896340419907,0.0953172584511892,-0.0838992320341017,-0.107055450266525,0.0293101885498327,0.0214483096179995,-0.0679421476678079,-0.0858503166000803,-0.0288728553418565,-0.0866502077941895,-0.0472547798620445,-0.0338500649242618,-0.060654797794174,0.108036352636011,0.0758677632788648,-0.054528334672604,-0.00240707241371948,0.020801896786536,0.0672838499935889,0.104284100808644,-0.052875531723079,0.124871613765266,0.0792169922122663,0.0778110575926672,-0.0691238551939105,-0.0550682429646685
"RIL_15",0.0183978851837739,-0.00263834625090043,-0.0697607111784719,0.104382887471642,-0.0348434578772775,0.0227545061159339,0.0937874101256833,0.101380250275823,0.0214680012588211,0.0498442069871904,-0.3006275294157,-0.0828110780458797,0.107425780790543,0.102294218256914,0.116043243682342,0.0944341554955989,0.0851712277672385,0.0877660665824477,0.0423117901715729,-0.119664122611744,0.047835235043608,0.00697743221942114,-0.046594717948039,-0.0805570620176596,-0.074999471910352,0.0622165556213123,-0.115315674656061,0.0198011839064916,-0.0684913892212135,0.0852517322467887,-0.0306020345597553,-0.097709264084593,-0.076138880301205,-0.0816405539156268,-0.0229607554944652,-0.0393010989920414,-0.0768681368801246,-0.106581186922765,-0.0304090919974274,0.0188193081847175,0.0984610296045882,0.0646963972327558,-0.102935848943934,-0.11594716143433,-0.0855324502286596,0.141812413824624,-0.0518139313518695,-0.100800835265782,0.0908578393224943,0.0895891762473938,0.0933899901829455
"RIL_150",-0.0543051175780658,-0.119741686815109,-0.0940086687755709,-0.100218950188913,0.144288138627508,0.148309668169652,0.0767192764084559,0.0939482196838408,0.122120061735445,0.0415765626834303,0.0351576184727144,0.0457021830321162,-0.0852455050586609,-0.0733349925830832,0.119333721320608,0.108006460056425,0.113083893384489,0.0903948641751778,0.0831395683133434,0.0780124786822906,-0.0920244556267025,0.0864474295644256,0.0917161682984417,-0.0964653019977593,-0.0788952686011038,0.102562088425999,0.0910405562612501,-0.115352461713526,-0.061467482035094,-0.0674737571346177,-0.0369614555637679,-0.111501775463581,-0.118990477063398,0.0883479325013753,0.0421782867018848,0.117806539034968,-0.0493864445377754,0.0867868947999004,0.0844173073874381,-0.0201328640710026,0.0701951762760632,0.140275736256654,-0.0428223535309207,-0.114573847034647,-0.108813809361941,-0.0676022434899108,-0.0826911850577668,-0.131800492896439,-0.132195377036041,-0.108298227441095,-0.0810357152020251
"RIL_154",-0.0379735196068433,-0.0170863858880305,-0.0370517135295376,-0.0520399479911664,0.0126002612557622,-0.0323849859185166,0.0804233893249468,0.0651990334906058,-0.0614396492351507,-0.119919920965799,0.0476177909319654,-0.0773307739400966,-0.0730634048427068,-0.0730316463048452,0.0794504728092778,-0.00278407764703576,-0.0019346828256903,-0.100237516804747,-0.0607045504507395,0.0801615453742515,-0.0857261019253804,-0.0814573936088684,-0.00284185283294811,-0.077084075540145,-0.0652483535506522,-0.0886868479819682,0.0969168708408918,0.0184254668128776,0.114183432134771,0.00656434540532444,-0.0447017930972241,0.108421448886599,0.103725098756703,0.0157078691022997,0.111525893704516,0.100095902711999,0.13850970260966,0.0847244834005921,0.0920341731162239,0.0247880486341286,-0.0571296500157255,0.0181250189743301,0.118862024791712,-0.0385299403410289,0.112548398175631,-0.0688981406008362,0.0760537121545537,0.0961822093690233,0.0868486286219884,-0.0604770304135318,-0.0837158873543768
"RIL_155",-0.129165621620486,-0.118880593863868,-0.0923676610479462,-0.102712681708732,-0.0932861695323055,-0.12545323520355,0.0765622238513895,0.0914631782354063,-0.0229360009794654,0.0661395397469339,0.022424360629954,0.0439376073409868,-0.106788308581787,0.0549894312336772,-0.0339499778106907,0.0929765605393315,-0.119167143932744,-0.110087241566464,-0.145676505650456,-0.126239834578324,0.0975308916751453,0.0995983039548989,-0.124002582801738,-0.0900587520642159,-0.0715362344293881,-0.0603858598155754,-0.130497182190692,-0.102992267098282,-0.110158290569649,0.0653961960000071,0.146167421955431,-0.0329970585099773,-0.0722000203417576,-0.0700431579472341,-0.119925977100716,-0.0856529174110379,-0.0993335941472754,0.089854140692563,0.0824867371699845,0.105110678147666,0.165163629307542,0.119716838748467,-0.0176589880850379,-0.0214972253653835,0.105903300430845,0.101511605315212,0.117496666727406,0.0737040846053291,-0.0589453896904905,0.128549128584504,0.104219140638938
"RIL_16",-0.0734299083136921,-0.119383561210476,-0.096478241362924,-0.101813387681662,0.0903328600710298,0.0506479027000385,0.0642533377673288,0.0981827339684409,0.125414346751242,0.0430178962246013,0.0338123338415282,0.0920112331621101,-0.0824752442909864,-0.0616068044528826,0.111383168874122,0.114699603603965,0.115944045909844,0.0834808656641651,0.0691538090953704,0.0744073958702348,-0.0921406284731729,0.0915535176390916,0.0867774783610087,-0.0837820542911244,-0.0887969215402975,0.105404082725016,-0.0293134508036694,-0.10222594521432,-0.0662159266744119,-0.070410927932357,-0.0623066052211295,-0.10983501615978,-0.100427673292604,0.0842828352330588,0.0415258350978655,0.117350539277518,-0.0432516044955803,0.0898595048110708,0.0856633934552698,0.030151454989047,0.0366918851385925,0.0741071222954685,-0.0457669909652003,-0.11490135596865,-0.109061443201055,-0.0790462919317014,-0.0777576223579503,-0.129191905551882,-0.122900222446214,-0.0809436534659344,0.105365381675496
"RIL_164",0.229540697681629,0.079287588413013,0.050085759740294,0.125451839537651,-0.00132665492929863,0.15073651747421,0.12369087608793,0.0811230913648428,-0.109986152276655,0.030544324188334,-0.0092101479751131,-0.093222107823934,0.00200376256609484,0.110720528887321,0.102668046247154,-0.12995693845573,-0.138585038654833,0.0982789717151647,0.0743223729838592,-0.0858562726800845,0.0605215736644483,-0.139021273305931,-0.174859609711425,-0.0869695643682203,-0.106778324401505,-0.0840548420619409,-0.165728655928304,-0.103633496599016,-0.0935002754950102,0.14432454173278,-0.119968169967437,0.0210958453727903,-0.0960167873896979,0.0708521880002724,-0.0396078609222954,-0.0781913926960043,-0.0491892785731776,-0.155925872946301,-0.162757749827591,-0.0986664991606147,0.0752718629615126,0.048294404786097,-0.0930170164391032,-0.0559843088468005,-0.107852131234736,0.122192457558229,-0.0918464097997075,0.0924741314015693,0.108333941836308,0.107301001607288,0.112268723196194
"RIL_166",-0.102671134753879,-0.169955318806412,-0.0475995739687013,0.0339300556964018,0.0712230408634478,0.000918043912055105,0.0690111028978488,0.0893089207773232,0.10676048136038,0.0815999955152103,0.0350143529713872,0.080853647563215,-0.0900120512356865,0.00107778139706751,0.114011350252988,0.113339343992059,-0.0528200581049925,-0.0407550760763212,0.0544703821470573,0.0488939797955942,-0.101937737594671,-0.0756572728483302,-0.152447553191381,-0.0862011174226269,-0.08659737722533,0.0776914639055733,0.092153151564163,-0.109660477734655,-0.0779116609212143,0.136944111238498,0.00448291520694229,0.0998059430008996,-0.0210539922720379,-0.0630169095487595,0.0914912743892776,-0.0843114739255313,-0.0815792717083559,-0.0429677459300006,0.0905979508215433,0.0505500358487908,0.14658062831446,0.0742444806907853,-0.0607122504325389,-0.107305767038642,0.000799402874556229,-0.0354120946108088,-0.0630911395050006,-0.0964525222842464,-0.115060807760687,0.00562398812902837,-0.0821789409141876
