"","MEdarkgreen","MEbrown","MEturquoise","MEwhite","MEred","MEpink"
"RIL_229_UN",-0.0436964585313453,-0.106776552222261,0.00121615742555459,0.0606749556236181,0.0131869532543294,-0.00993548549214047
"RIL_23_CR",0.0694232839789722,0.0602318456725842,0.0675156013658552,-0.0584377973226711,-0.0684999216274199,-0.0210613511423448
"RIL_232_CR",-0.0955263091687562,-0.0344989236166923,-0.0730350383433706,0.0868982814269616,0.0634645496222103,0.0553007102981484
"RIL_232_UN",-0.0919318217341701,-0.08544753943006,-0.110898240778055,0.0867845255322882,0.14400691732532,0.10255663679816
"RIL_234_CR",0.0760131673888639,0.0346078412807922,-0.0407594422605059,-0.0577634341964231,0.0619640803057174,0.102292351904786
"RIL_235_CR",-0.0115540854438872,0.0914581085821821,-0.0127603567752332,0.0550991244883214,0.0189076634745277,0.091973247943588
"RIL_240_CR",0.0177589514591722,0.149960941200507,-0.0712165277685547,-0.0179333373985211,-0.124782386720403,-0.0650745713236623
"RIL_240_UN",0.0178945570987849,0.0573295668014767,-0.0589198867182021,-0.0163976394212125,-0.0518373638775016,-0.0681747130529188
"RIL_242_CR",0.01025393148415,0.0387743480232978,0.0707594745097643,-0.054856628566712,-0.0475507989803624,0.0164500174915094
"RIL_242_UN",0.0187212632749514,-0.0890562730590126,-0.00365188709983949,-0.0708503214881296,0.0116455039635072,-0.0961091273778938
"RIL_243_CR",-0.0239867356492782,-0.0584999591884767,0.0153763845770264,0.0225374985933886,-0.0216268965922246,-0.12137829402797
"RIL_243_UN",-0.0322393240065692,0.0115175734303062,-0.04722347566568,0.0316502061740307,-0.0199213113469643,-0.00256056875244082
"RIL_248_CR",0.0102509301674351,-0.090646365849364,0.0312874507698652,-0.0608907180659316,-0.0338677693526752,-0.0953429212935598
"RIL_248_UN",0.00467980122412122,-0.0952081991308419,0.00280253573654981,-0.0623941971624231,-0.00596461956865101,-0.0117404750440305
"RIL_25_CR",-0.0603574545655253,-0.0274311239065433,-0.00282236358079674,0.059880013150804,0.0278153861378858,0.000273110442582612
"RIL_25_UN",-0.0594181425449093,0.00329154091655319,-0.0492739522536839,0.062431207903099,0.0338618142356306,0.0466448174609071
"RIL_250_CR",-0.0824476263124826,0.0160113685990219,0.0123966489139778,0.100305418175373,0.0156163304969152,0.0791872530174194
"RIL_250_UN",-0.0993518624554177,0.014980363335514,0.00681088142103249,0.088259601881937,0.0184624966475511,0.0786609046490205
"RIL_251_CR",-0.0738541537113933,-0.0610720124262437,-0.107592242617864,0.0738960208848284,0.133483167146554,0.123003171506658
"RIL_251_UN",-0.0665691853285883,-0.0155742140969435,-0.0850300740676503,0.0810918550480612,0.110126909582055,0.131155068721718
"RIL_253_CR",0.0624146023565794,-0.0987960836786934,0.0839360322208915,-0.0667358140043071,-0.0749054762692834,-0.139225170190388
"RIL_253_UN",0.0623942424958246,-0.0842501287951906,0.083960268271732,-0.0710820360660726,-0.103679007988834,-0.156739496550385
"RIL_255_CR",-0.0991185643643781,-0.0607447750851809,-0.0178604076222995,0.0729893503792252,0.0497556608763859,-0.0471759860954769
"RIL_255_UN",-0.0884132393734423,-0.0840677144433855,0.0362743081128652,0.0742993325511493,-0.00416917859507451,-0.0807426347584538
"RIL_256_CR",0.0713341095679942,0.0429404151586832,0.0380523965880311,-0.0500892096190766,-0.0206680412805037,-0.00379189069111915
