"","MEyellow","MElightpink4","MEdarkturquoise","MEroyalblue","MEviolet","MEdarkgrey"
"RIL_255",-0.155534268138961,-0.109014933083615,-0.0649254120526504,0.04060331969873,-0.0508494853947347,0.0983086060882965
"RIL_256",0.000846598391621051,0.0912576884020083,-0.129419601675564,-0.0396446073996376,0.0665703443468965,-0.109963574084989
"RIL_259",0.0638069903156356,0.0963415201051702,-0.0452390248211812,-0.116590857877757,0.123465649095928,-0.109608473402988
"RIL_264",0.143131862671917,0.0821096482307724,-0.0480745586589625,-0.131683810628185,0.131284438925738,0.0928589934602161
"RIL_265",0.0114636136289216,-0.091754371637376,-0.0879643587837775,-0.0719675953421148,0.115335611294785,0.0856160898952732
"RIL_267",0.20211748072592,0.0930324174945262,-0.0754913904118647,-0.12426237135387,0.134657590190146,-0.0635599677294928
"RIL_268",-0.100780487111745,-0.0920721128726837,-0.0353195020624891,-0.178103280560946,0.132418477519892,0.0647096400821608
"RIL_270",-0.0519412346661553,0.0692354282753281,0.118905899535217,0.239644985120199,0.0600722543718046,-0.110940675047685
"RIL_277",-0.0799265004546554,0.0541375305391284,-0.0446750115783313,0.0374152907129811,-0.0685016840459752,-0.103269070905894
"RIL_281",-0.131682930944279,-0.110372641680276,0.0123891922777705,0.0163628844086732,0.087918411629968,0.0945422414287876
"RIL_282",0.000259205300897643,-0.110503242530582,0.20844671088563,0.0425090645811455,-0.0936176148284471,-0.0133055449654382
"RIL_284",-0.0334473537190003,-0.103373465561016,0.174879408947533,0.107151918129539,-0.0826786722131699,0.00203723830405977
"RIL_285",-0.0175738785558998,0.0919353916073913,-0.028595583646736,-0.0114527584849221,-0.0863747672526541,-0.0333901769653127
"RIL_288",0.0501795989745166,0.079722496960328,-0.0713899406027953,-0.0458221750587385,-0.0512853252152136,-0.0425039865225824
"RIL_289",-0.188635152313554,-0.0987027673435756,-0.0347743799052239,0.0504787037457924,-0.0717550280181462,0.0997184988069899
"RIL_290",-0.0552809176236413,-0.119466322367936,0.0945643610791421,0.141146553286132,-0.0669241108955245,0.107434153157152
"RIL_294",0.0466288297834156,0.0875945506689335,-0.0215127340676828,-0.0664062252094101,0.147819411005278,-0.109996190890135
"RIL_30",0.00121081164809924,0.0125283742095885,-0.119099075458046,-0.0402696569417158,0.139156430143998,0.101835349616469
"RIL_300",0.0271530229505047,-0.103949803666996,0.0741189526896192,-0.00951762431614598,-0.084226551062247,-0.100933845488733
"RIL_301",-0.0109753997325396,-0.103160450127868,-0.0807464838094583,0.00950080845895881,0.0614542961666661,0.0995600490013044
"RIL_303",-0.11272392448073,-0.105249093422272,-0.0599995141003923,0.0572423097382563,0.103275088531489,0.0993073925499553
"RIL_308",0.132010581956526,0.0763415692363276,0.0743357594032294,0.0171861350663784,-0.0802648157797631,-0.0158010510560314
"RIL_31",0.0272646455091775,-0.0927711481018465,0.0396133592042766,-0.0820735389483097,-0.0671899217786237,-0.104550979970155
"RIL_318",0.103893002987453,-0.10114223852449,0.106932657573786,0.0795569098877962,-0.114727692626914,0.119302429281254
"RIL_325",0.115544694862985,0.041229934229762,0.0451621160834342,-0.0120954816842559,0.0938424054773032,-0.0981734928173092
"RIL_329",-0.0779670968625357,-0.105127276594374,0.0372193513264056,0.0400684004180871,-0.0753453482187355,0.10428130002787
"RIL_332",0.00455663945060002,0.0832430704927042,-0.0998024161849708,-0.0573045028788853,0.115690237371232,-0.101075756200573
"RIL_337",0.0407529014289779,0.0868926206368871,0.190575717603898,-0.00302213125740037,-0.0756039936892821,-0.109368201429018
"RIL_339",0.0617240421192456,0.0965398568275969,-0.0215800412481759,0.0296498281932339,0.105154069347186,-0.0998173441363095
"RIL_340",0.00761939393080443,-0.108955692281475,0.00857305831532709,-0.0212520472449323,-0.0791144131983613,0.0973954338109602
"RIL_341",-0.127522632348569,0.0873051781194294,-0.0421542537813981,-0.0297923929651262,0.119704658601178,-0.103098254547647
"RIL_344",0.00123170308171597,0.0719209161993268,-0.00383866240516466,-0.0528690469494552,-0.0733465540877888,-0.107572869002661
"RIL_346",0.0230023075951205,-0.0882307929750549,-0.0342476390405689,0.0030115444917824,-0.0893765797510274,0.102181405481359
"RIL_347",-0.00456354728533326,-0.121749764595633,-0.0301384032117191,0.127857446886831,0.1134146005589,0.114125693076207
"RIL_353",0.0254936330991467,-0.109485785421321,0.0220747864982572,-0.0502339461822548,0.108274506046517,0.0703444536092912
"RIL_354",0.0279987096402769,-0.0360481030434281,-0.0670370173135172,0.0582731866835245,0.116870562814333,0.0745420696651643
"RIL_355",0.134732779887933,0.0681961533854048,-0.0972030233288519,-0.105904639926919,-0.0549314147032958,-0.0259997669046331
"RIL_357",-0.169363122687245,0.0872582305561608,0.139017922990656,0.140056657711933,-0.08636069190332,-0.0815147968497244
"RIL_359",-0.0322156839820068,-0.103721546388411,-0.00839156810973908,0.0328307251130312,-0.052335498682778,0.0988360870136047
"RIL_36",0.0376523810196317,0.0144255859082071,-0.078268659841273,-0.110938736050736,0.134452022009057,0.088730906652777
"RIL_360",0.052359284196885,0.0712171455109861,0.120057830065323,0.00903395424133063,-0.0867221602096177,-0.0675131495190372
"RIL_363",-0.0884427439276842,-0.111766961855634,0.118155768426296,0.0757928497212876,-0.102496013361145,0.104999204107305
"RIL_373",0.0594496069579507,0.0845660381906496,0.0715958872895981,3.70264779277862e-05,-0.0818157590422862,0.066032679049507
"RIL_376",-0.00330510797259791,-0.099954960062461,-0.0134400215724339,-0.00519438729702035,-0.0360806411993856,0.105698491002909
"RIL_380",-0.1436618247231,0.0404740760685696,-0.154831452281323,0.146883070160193,-0.0948431362455018,0.107829770333795
"RIL_39",0.015322877095411,0.0888158008956907,-0.0230810394268466,0.0555243866878847,-0.0479447404340509,0.104356528687905
"RIL_42",0.070418309010874,0.0931568470436717,0.00210672605211239,-0.10931122307941,-0.0552488853499393,-0.102560290526877
"RIL_46",0.0406673103327117,0.112216477337307,-0.0988716688884671,-0.164950516389658,-0.0656883593356949,-0.101215172617151
"RIL_53",0.110583882465167,0.0768694747385582,-0.000552269510129513,-0.133184586830341,0.0902911208806155,-0.111042599841238
"RIL_60",-0.0552945541086876,-0.109638190081901,0.200467487816424,0.190730166120079,-0.0897071884785685,-0.0774187347858012
"RIL_63",-0.179663271352759,0.0839027043335901,-0.0936814064243306,0.0207248618278316,0.124758338406927,-0.103223903730213
"RIL_65",0.0858618205694877,-0.0936409123367152,-0.0874874420367546,-0.0278900604727416,-0.0920842359271821,0.0690543018855894
"RIL_66",-0.0625708971574306,0.0907187384411458,-0.0430796559396737,-0.0360541785078688,0.132747628747337,-0.102982664755432
"RIL_69",-0.0687127034041529,-0.11641698189574,0.0755498697554364,0.117911375283698,-0.0762554930619435,0.110901451907705
