"","MEdarkturquoise","MEroyalblue","MEdarkorange2","MEgreenyellow","MEplum1","MEbisque4","MEorange","MEmediumpurple3","MEbrown","MEdarkgrey","MEturquoise","MEdarkmagenta","MEdarkslateblue","MEpink","MEviolet","MEblack","MEmagenta","MEpaleturquoise","MEdarkred","MEthistle1","MElightcyan1","MEyellowgreen","MEfloralwhite","MEivory","MEtan","MEskyblue","MEdarkgreen","MElightsteelblue1","MElightgreen","MEblue","MEred","MEorangered4","MEsteelblue","MEcyan","MEmidnightblue","MElightyellow","MEgrey60","MEskyblue3","MEsaddlebrown","MEsalmon4","MEdarkolivegreen","MEbrown4","MEwhite","MEpurple","MEyellow","MEdarkorange","MEsienna3","MEplum2","MEsalmon","MEthistle2"
"RIL_242",0.102190499203594,-0.0735412848046021,0.0964394717841158,-0.0414210837814056,0.0826681375528938,0.0650298983687872,0.0633996845013109,0.0863223468302116,-0.0517113850079802,0.12404686248408,0.0268140715395904,-0.0123213357147119,0.0936247552616591,0.0724356535151379,0.17811419802445,0.153874501700611,0.151167397103854,0.113983048972989,-0.082015865877763,0.0958004845959239,0.0866924669382752,-0.0228153724441236,0.0971186133903622,-0.116308257903806,0.106457386189658,0.0845742935005501,-0.0836919382678827,-0.0456317437684712,-0.104280770235502,-0.0404389019799672,-0.0319099513084303,0.0821045455509582,-0.0897876077409073,0.0317815870693894,-0.13488145618034,0.0409435877709999,-0.0702820881997791,-0.0954594250871172,-0.117995914770639,-0.0796160683819587,0.123925210677584,-0.113936497225913,0.0929110375627338,-0.0849646777786373,-0.0491248984724059,-0.171963094191062,-0.0655615387319995,0.0148246321111095,-0.0949777205764102,-0.107111290879302
"RIL_243",-0.0831011973643425,-0.00353127810838381,0.0154258743397584,-0.0567976123284138,-0.11491275929155,-0.117903807885884,-0.142813742747718,-0.0813286867004655,-0.029213677233248,-0.0977271224878783,-0.0505870761186027,0.0868568521041995,-0.0671367697380962,-0.122203500248766,-0.0712392180982638,-0.130282522581533,-0.0947776561326183,-0.03134324182697,0.0985713307830149,0.0124833022482947,-0.0189095441280398,-0.048552348353637,-0.0929680160257643,-0.0442041766699745,-0.0907868597222752,-0.0355144422846636,0.147007130535154,0.108634780852621,0.0871743144979756,0.0275422767919447,0.0973976848768899,-0.134946367938714,0.0479540087926551,-0.10866651358904,0.00210948995543706,0.0813229339971332,0.143168396848077,0.148976127625324,0.10316083507272,0.135934175071228,0.0157113500303159,-0.0376076480097213,-0.0882461205418953,0.0429994790790025,0.0849646537599085,0.0846191648346614,-0.00670336633064359,0.0546960613719986,0.109805325662872,0.107860877374846
"RIL_248",-0.102210377455148,-0.0728973438716977,-0.0815904881975183,0.0502313124785812,0.0515459667083389,0.0738111216741631,0.0652836565480669,0.0775452247302619,-0.0268698005440389,0.129312509770537,0.0313317157055869,0.0133326379842568,0.113982747554587,0.0548611112668513,-0.00108412624968946,0.18409940551434,0.141952269584186,0.120471317690699,0.083924653082762,0.10432412776011,0.0824960019576812,-0.0434844524391398,0.0985104437579429,0.0981301649118903,0.111404369590315,0.0860187416132796,-0.0936937027597212,-0.018682607479902,-0.11813486796684,-0.088828578049806,-0.189003293743508,0.0331220303309548,-0.0812840612278123,0.126148833174594,0.00562420843007561,-0.0410112027375354,-0.078992514891276,-0.09365786430762,0.102470711927006,-0.0930079855831607,-0.0881862462243594,-0.136977196086091,-0.10031091827164,-0.171540792825453,-0.207655031195119,-0.0150487165104712,-0.0141811256851657,0.00429200086452551,-0.134253700668886,-0.120871974828664
"RIL_25",-0.0919584038399293,-0.0707466724449225,0.106555660988431,0.113930245240945,0.0972097568694202,-0.0423051466908555,0.0689789496620976,-0.0871605004699057,-0.041815048975018,-0.0905986166138641,-0.0578288379235972,-0.106562309320237,0.0216936116452103,0.0587909363094298,-0.0829304038039679,-0.0343207865068286,-0.11017903804815,-0.0729722059845055,0.104931547390602,-0.0774197939525038,-0.0353285519648604,-0.105752568237374,0.0460937557294877,-0.108606093018357,0.126542521513807,0.0800238995516698,-0.0543940070791085,0.0990074491256208,0.0961246311581431,0.0382547369133365,0.0912307782552533,0.101728680723281,0.0873264619719259,0.0291014767465551,0.0552272371626142,-0.109379315576597,-0.0686493745052931,-0.0068377590117912,0.0786703349563535,-0.0852834661311214,0.103806022760248,0.0810379505652534,-0.0943406159557433,0.00925789400690485,0.0726556471158081,0.0718780957274269,0.101221600499273,0.0275898832214161,-0.102995637844295,-0.0290501908761556
"RIL_250",-0.103815844311741,-0.0531430333586442,0.105570384142238,0.109114534680825,0.0998691107354938,0.101165577238316,0.066723045754414,-0.110695390690325,-0.00460713603680878,-0.0436422037325904,0.0220191124917895,-0.108814262195741,0.0953410175940852,0.0336946051446279,-0.0929821720242471,-0.0228315839430963,-0.0741592365071364,0.043739221494643,-0.130030806420356,-0.101824268161756,-0.117005754829234,-0.126468675591069,-0.0477016171682439,0.0466646523123326,0.0640107438195103,0.0491937747768908,-0.0496682282950962,-0.0891641320313213,0.0826379434964874,0.0243546496101066,0.007784394911102,0.0921308510321768,0.121344923999359,0.0268797904122651,0.102836271519422,-0.125688934538759,-0.08614643778102,-0.0845761934676292,0.0110875517421088,-0.0835721151747663,-0.0273968008574182,0.0901396528014454,0.102479851117649,0.0291803540319367,0.0527343765147334,0.0769200341132347,0.0601588705808373,0.0137759049226621,-0.0919759321580654,0.024640996293271
"RIL_251",-0.0749492313417294,-0.083701203110212,-0.10064002928248,0.0899694294971304,-0.087001858722626,0.100233856377391,0.0665695338176243,0.0596248760087568,-0.0666958655651312,-0.184691522307849,-0.14591237131077,0.0762990235716552,0.0114630920012114,-0.132756734652301,-0.0828398187294311,-0.117618638377063,-0.198269892827971,-0.0527955458808143,0.0865589038516968,-0.0512047930103205,-0.0924071369439334,-0.0447314632968752,-0.0885575816647965,0.01392485300486,-0.0794466772309554,0.1048810799036,0.143522553722069,0.120877425449555,-0.0449111961110672,0.136739198344487,0.138453202187915,0.0754095909849344,0.107040169918456,0.103078295007763,0.209302450585997,-0.0479865122668789,-0.0731318652659594,-0.0694014551206203,0.123287015520469,0.0806521795024864,-0.0145618474922709,0.0927934666772928,-0.0785028204908366,-0.0490325963631688,0.0460865083333856,0.0785702207232397,-0.0824269182181565,0.0308468195357356,0.0793293517223618,0.0871167724067697
"RIL_253",-0.0842953128624754,0.134905383873508,-0.0867634409125045,0.0634090768199316,0.0954381639519681,-0.021705663352702,0.0795619542374387,-0.0869008379995639,0.040684948738956,0.20554617793756,0.142922235031508,0.121042475560148,-0.00794099427316465,0.081957921457161,0.127239953797249,0.142723458523817,0.180778736136772,-0.0824933332485471,0.0963341802419308,0.0435008858582695,0.0849359374754754,0.102275014174631,-0.0363594243645331,0.0803310499681461,0.116431478805905,-0.129240336229463,-0.0808771500112028,-0.0877128883557036,0.0828343773216479,-0.155634910693373,-0.12049311725273,0.0723532821890812,-0.100551749990169,-0.00428739960061592,-0.186241481764203,-0.0133237685745582,-0.0614463522050691,-0.0709427448891257,0.0110218121442695,-0.0658945452131246,-0.0391906737916217,-0.0672499583757105,-0.0977910236272318,-0.0439428981144481,-0.045402305324194,-0.106831684652848,-0.120697194305218,0.0206761150173574,-0.0969180497276986,0.0415903132859212
"RIL_255",0.108507563475542,-0.0158916039281628,0.12107904899766,0.104165835434551,-0.03099481775037,0.0203234700802794,0.0648748830232305,-0.12091119365284,0.00102184330324107,0.153612524138902,0.0878609924307722,-0.0684620734194453,0.0970705570958791,-0.0267677634402176,-0.0678641982161754,0.049325397470098,0.0803032926501955,0.0783308888852347,0.0993190338423554,0.0713068597186434,-0.119750294006425,-0.104756454104097,-0.0127192495027068,-0.121691857430256,-0.0936249474594191,0.0279972194172504,-0.00246349865757103,0.116019902612562,0.0880175298500548,-0.0646719360825226,-0.154503874340507,-0.0963463392481973,0.10318305870308,0.0439148090177916,-0.0679200028076481,-0.110490815960271,-0.0745815889476277,-0.0913556046448026,-0.0920972969958763,-0.0281685448651705,0.119895543686,-0.0930292374075736,-0.0992997190486078,-0.102933749622008,-0.175001337083072,0.0584403680988996,0.0373338266792608,0.0200887938990288,0.0895210268497247,-0.0208276084504545
"RIL_256",0.105834759543803,-0.0608937596793525,0.117008219088554,-0.0869402166771462,0.095947099534133,0.0653799417603053,0.0744745324846159,0.112678302791583,0.0977691967408485,0.154690391565063,0.154697758258668,-0.0815116407124434,-0.125617356983452,0.0281787436548635,0.0136335298581309,0.0139797917782074,0.106216485469248,-0.0778983582438831,0.0890294903021738,-0.093282824370611,0.0782296319973682,0.106921298868271,0.104099041103529,-0.0452617286644515,0.0778154673225812,0.0173196897686816,-0.0454914139573912,0.116286896406356,-0.102484605767841,-0.16780544632379,-0.148220955861495,0.0766238292620347,-0.0980438845593816,-0.0445682922816026,-0.135519057000122,0.0588002182173075,-0.0746725353043345,-0.093264948726117,-0.125282539028149,-0.0749304263186476,0.0477519956590453,0.069204150890971,-0.101210855896882,0.0507369120148352,-0.0309963438162148,-0.0161533910547464,0.0865854763601881,0.0142133403776361,-0.0670156232393625,-0.0961975897170659
"RIL_259",-0.1024729508151,0.0440251122510293,-0.111494590574343,-0.0957015511623421,-0.123935783573489,-0.139986372330669,-0.0774142491763217,0.105440313525659,0.0539689713308099,-0.00121760279207034,0.0312410491405185,-0.0871340731232551,-0.115131923962037,0.071777093784377,-0.0858697934851514,-0.0631281874522494,0.0340230254954072,0.10588538468258,0.0992549596400447,0.104666152247217,-0.143816186103834,0.0923142201856076,0.0962834631606553,-0.0411325053318792,-0.0406442012608725,-0.00425036278920715,-0.0708431799524958,0.00787203660364091,-0.116487613964053,-0.0159741424683038,-0.0151112007240168,-0.077518520167941,0.0183675664705841,-0.126508359129461,-0.0347981585245561,0.0900891054771713,0.0690945510472174,0.128254325586367,0.101861982614857,0.115128155497524,0.0159206149135895,-0.119732204206468,-0.104226142191583,0.125580135999884,0.0318075599449608,0.077301264489249,0.110562166872161,0.0278249366060518,0.0400209451813651,-0.092313008664234
"RIL_264",-0.00387930416207401,0.131165712834839,0.110941858966655,0.114410311181285,0.0897254075440906,-0.0160191612248579,0.0827162831541643,0.115976758533543,0.0189408342092159,0.01883887290178,0.0431101644215642,0.111437252007686,0.0774379884223032,0.0781690805152082,-0.0394387914148782,-0.0387082986647786,-0.0194194187355274,-0.0868306267658558,-0.0988164739230775,-0.0963335219821811,0.0693039277010198,0.0424884360188467,-0.0993155511012357,0.0457489349010279,-0.0490627483705294,-0.14210927183256,-0.0528680138051313,-0.0556303614056218,-0.109349916644634,-0.0500353189971449,0.0576650117156083,-0.137384030271944,-0.0926959883802393,-0.127555054703088,-0.0516423097146235,-0.100263405586506,-0.0668368164034646,-0.0668974373301824,-0.059965893712722,-0.0955314185458498,-0.0498548964589431,0.0949655801245535,0.0976571699104001,0.12469131243237,0.14357582731864,0.0713676420169186,-0.114282301856252,0.026801471785268,0.0588085806015562,0.105755935482444
"RIL_265",0.10790493255626,0.132539259143025,-0.0838853894070613,0.0290253260598695,0.0908212028892828,-0.119177288750503,-0.0886760393349727,0.114052327161517,0.122621498312302,0.0657039835028111,0.0805907691590695,0.115091657980091,0.0785220748600927,-0.0962576617938798,-0.0417555968503995,-0.00431595034975956,-0.00619293417578248,0.123904482947894,0.0924523398663034,0.101821793617613,-0.112179996945668,-0.096947082672168,-0.0483902773823074,-0.102641759521182,-0.0826673355441299,-0.125496053563423,0.127328467578149,-0.0778688420970807,-0.0944447222526224,-0.0522114872857798,-0.0353258845278529,-0.0875707403980687,0.124438343671973,-0.0751511886657651,-0.0903464855785417,0.0115716392152426,0.125512783392466,0.111841856005824,-0.125872671908952,-0.0686848747921287,0.111174301055776,-0.105595319214788,-0.0836614671377741,0.0325039120574361,-0.00710930503034956,0.055973644303523,-0.112896090760015,0.0239848257767348,0.0909798594590536,0.045147732864408
"RIL_267",0.112447143998732,-0.0713170883031845,-0.0994712926473471,-0.0893823572054756,0.00977001267257744,-0.0517134682600401,-0.119861560511996,-0.0528854498886627,-0.0174535709261689,0.0174096016022674,0.0155783189794047,0.0987176653890667,-0.0651062341650952,0.0950043713172517,-0.0652545513477864,-0.0170150953802552,0.0800642105916479,-0.0776279236483527,-0.0816162268673918,-0.0889939609458209,0.0722589258054661,0.103159750611102,0.105651630664081,-0.111123240892854,-0.07898149651402,0.0725326196419651,-0.0523081171359617,-0.0774686733015839,0.0290829392865219,-0.0756784523676235,0.0969526742148756,-0.120843341167972,-0.0935006534294159,-0.117676334919831,-0.0703368510558722,0.112418116326313,0.146680538947698,0.0996479106843063,-0.106989382667926,0.0793076011235752,0.109444236605209,0.0934354331680925,0.10545115580408,0.158000904447742,0.20076411405741,0.0787736458799269,-0.0713726275819091,0.037701425720463,0.103163588184258,-0.0951362871207911
"RIL_268",0.105362220116328,0.12127920106756,0.0970408761889806,0.101420880105767,0.0890914390060731,-0.121118158261612,0.0642648694970852,0.108041240095697,-0.00161162314989252,0.0275937144339968,0.0182489711872589,-0.0832538634136418,0.0560380387760301,0.0721072022317069,-0.0613986393532216,0.0620727791772898,0.0328492390549468,-0.0690076099105596,-0.0497425132669583,-0.0498386057917163,-0.125700661060097,-0.0933074007503303,-0.0660756071356252,0.0842713623134012,-0.0590198266733446,-0.12297179881364,-0.0494849283273203,-0.0830212418980158,-0.0973725854996447,0.0359417080045144,-0.0707058185896104,0.0377796769729131,0.103650472409963,-0.213752306804865,-0.0507336695506644,-0.11788447372486,-0.0557511765991372,0.113877796509424,-0.119403011140613,-0.0673652358537321,-0.0975359008172736,-0.0289626276436316,0.0370048129660298,-0.0108947922895289,-0.121523391998907,0.0552472319207365,0.0625775894240278,0.0262220388112101,0.0649963479596156,0.0992696628954711
"RIL_270",0.0950543207479937,-0.0487811383290583,-0.0750647625748933,-0.0330374291685501,0.108888995906712,0.10178218757012,0.0545923893963217,0.110634072874118,-0.0516011246136102,-0.0672416658736988,-0.0679912051796306,-0.108941120102141,-0.0829283417536123,0.0471741273434887,-0.0865673918385149,0.026486261921183,0.0103679777356624,-0.0463731466773266,0.0800005253355888,0.118386678162587,-0.112452724029077,0.0390593682941015,0.108509764690071,0.121448036524063,-0.0668623494341264,0.0836334655382426,-0.0795952660070069,0.115638181028053,-0.138021401572289,0.0647882332908852,-0.0261258381237537,-0.15682708717545,0.0849254882374207,0.230823719646274,0.132760668661062,0.0368151766865261,-0.0761355636194776,-0.0764975899537303,-0.0967594716159655,-0.0967270988752648,-0.110281631364297,-0.0791706526026091,-0.0896911119841581,-0.0203487751477838,-0.0651433861214693,0.0626490543362421,0.119797984811086,0.00885880763583085,0.0400887223776652,-0.0955950615715541
"RIL_277",0.112326810023005,-0.0745482606173851,-0.076264473582283,-0.0818008351177785,0.092828363995324,0.0882709177528337,0.0699453203825089,-0.0592919253937705,-0.0709577093903941,-0.0254523466031656,-0.0871291269687737,-0.0923576232336142,-0.0879770790387052,0.0599141856303428,-0.075639099489136,0.0405122628407075,0.0520478088476558,-0.056060480788562,0.0955215658210854,0.0855409991819671,-0.113222234101711,0.0302375681124077,-0.087270200402085,-0.114110214189681,-0.100149892939549,0.0928881641365157,-0.0455441556428656,-0.097763824273039,0.0562481519877799,0.0868884694578758,-0.0280605224838248,0.0921420128379916,0.0959275924656975,0.0460616769156796,-0.050317917250575,0.0963364849648032,-0.0755461392568815,-0.0798302956855025,-0.106733461597114,-0.103545510727438,0.113596001985759,-0.097292328182481,-0.0668083828424769,-0.0658313546366799,-0.0741971596196681,0.074334895836002,0.116990021204149,0.0336067942549152,0.074806172247437,0.0947630733998646
"RIL_281",0.117093451176043,-0.10174504835828,-0.0152790265625936,-0.10766729349432,0.094237243106802,-0.0796169532576385,-0.0432732840300759,0.119954283877453,-0.0680849887382429,0.0837753020152965,0.00422281798845715,0.0338471791658869,0.0961130257862525,0.0846268810236428,-0.0840577549815093,0.200181435508173,0.133660588987846,0.131614915670693,-0.0329103247132517,0.0368224394373969,-0.105563315902045,-0.119069318021495,0.0832798462872379,0.0845161079021162,0.12017754838433,0.0942560746590956,-0.0838035806472482,-0.0931129534644044,-0.0944447153950452,0.0498178851877308,0.00110760177072045,0.089681231951593,0.122725754196336,0.0224086495521008,0.00898653181182153,0.0870079374459904,0.0831902483768604,0.116859848303563,-0.119530815747504,-0.0853817129328911,-0.0820921869041227,0.0115776128607324,0.0523611973619131,-0.153851275836261,-0.103898946874696,0.0659817549923464,-0.00659798636807699,0.0181714192206176,-0.111208700414523,-0.0996833420465405
"RIL_282",-0.0703107052823905,-0.0895656650886392,0.0921292318025229,-0.0692228235553124,0.0457125789579418,0.0344287538751329,0.0108161180968992,-0.0879314729880844,0.00731942493769939,-0.0723967890971098,0.0152922232804976,-0.112054891351091,-0.00293279618426028,-0.149859769118767,-0.00152923935726257,-0.0753072289379138,-0.110949846020843,-0.0754825106123942,-0.0978624721364527,-0.0745259018556584,-0.100603382217944,-0.0538056977836088,-0.095160113389428,-0.0220631285353804,0.0632737741409492,0.101905844969005,0.126952532733959,0.108022134396546,0.074388439468208,0.0360332561471886,-0.00591236518137438,-0.00256679881108691,0.017009401063153,0.0339571550579059,0.211008133424969,0.0374800236200663,-0.000597949777652244,0.0533335510017201,0.0199741579748212,-0.0739070171443858,0.0350337733832675,0.0924108465859726,0.100382572879773,0.0345896692040243,-0.0046864710252376,0.0310312395498832,0.105267382929605,0.025992483152978,-0.0785930629350875,0.0935857684320413
