edge,node1,node2,cor
UNr12|Bra026943,UNr12,Bra026943,-0.48566907902555523
UNiD12|Bra008575,UNiD12,Bra008575,-0.6479559942849621
Bra008637|Bra008575,Bra008637,Bra008575,0.8689880518135839
Bra028216|Bra008575,Bra028216,Bra008575,0.8682201875613809
UNd12|Bra013959,UNd12,Bra013959,-0.642403909811986
Bra008637|Bra013959,Bra008637,Bra013959,0.8491169000714257
Bra028216|Bra013959,Bra028216,Bra013959,0.8500683167927627
Bra008575|Bra013959,Bra008575,Bra013959,0.8927203005519556
UNiD12|Bra008577,UNiD12,Bra008577,-0.6460730285556663
Bra008637|Bra008577,Bra008637,Bra008577,0.8820606956694003
Bra028216|Bra008577,Bra028216,Bra008577,0.8741012777916038
Bra013959|Bra008577,Bra013959,Bra008577,0.918590667214169
UNiD12|Bra008859,UNiD12,Bra008859,-0.6286772058132544
UNd12|Bra008859,UNd12,Bra008859,-0.6343669328516612
Bra028216|Bra008859,Bra028216,Bra008859,0.6516205435532846
UNr11|Bra028410,UNr11,Bra028410,-0.3659319897919217
UNr12|Bra022867,UNr12,Bra022867,-0.48236224235080466
Bra026943|Bra022867,Bra026943,Bra022867,0.7728677393349398
Bra008637|Bra008566,Bra008637,Bra008566,-0.7066466001288921
Bra028216|Bra008566,Bra028216,Bra008566,-0.6962907254864811
Bra013959|Bra008566,Bra013959,Bra008566,-0.7591374554638224
UNiD12|Bra008840,UNiD12,Bra008840,0.6187651281109949
UNr12|Bra023009,UNr12,Bra023009,0.5053101942308809
Bra026943|Bra023009,Bra026943,Bra023009,-0.64820289703572
Bra022867|Bra023009,Bra022867,Bra023009,-0.6605320912256125
UNiD12|Bra017468,UNiD12,Bra017468,-0.591688764744929
UNHmax12|Bra037847,UNHmax12,Bra037847,-0.5962957928402125
UNHmax12|Bra018973,UNHmax12,Bra018973,-0.6786217103949824
UNHmax11|Bra008430,UNHmax11,Bra008430,-0.6050714738357178
Bra037847|Bra037542,Bra037847,Bra037542,0.6979512802330409
UNHmax12|Bra011761,UNHmax12,Bra011761,-0.6331667251315519
Bra018973|Bra011761,Bra018973,Bra011761,0.7303296213791934
UNiD12|Bra025790,UNiD12,Bra025790,-0.6966363657466157
Bra018973|Bra025790,Bra018973,Bra025790,0.8365580911627535
Bra011761|Bra025790,Bra011761,Bra025790,0.7149335911447573
UNr11|UNr12,UNr11,UNr12,0.3494866615977462
UNd11|UNd12,UNd11,UNd12,0.48646664921828736
UNd12|Bra013968,UNd12,Bra013968,-0.6157715795386806
Bra008637|Bra013968,Bra008637,Bra013968,0.8353966828556114
Bra028216|Bra013968,Bra028216,Bra013968,0.8398411195991424
Bra013968|Bra008575,Bra013968,Bra008575,0.8916930420371801
UNiD12|Bra013959,UNiD12,Bra013959,-0.6202366274129849
Bra013968|Bra013959,Bra013968,Bra013959,0.9509234698149137
UNiD12|Bra005332,UNiD12,Bra005332,-0.6199332786708848
UNd12|Bra005332,UNd12,Bra005332,-0.614845580040637
Bra008637|Bra005332,Bra008637,Bra005332,0.986485201833265
Bra028216|Bra005332,Bra028216,Bra005332,0.9825886772408025
Bra013968|Bra005332,Bra013968,Bra005332,0.8299326208034266
Bra008575|Bra005332,Bra008575,Bra005332,0.8703415993883126
Bra013959|Bra005332,Bra013959,Bra005332,0.8406353594165578
UNr11|Bra025296,UNr11,Bra025296,-0.34635789502357944
Bra013968|Bra008577,Bra013968,Bra008577,0.8977543526199958
Bra005332|Bra008577,Bra005332,Bra008577,0.8757110048617336
UNd12|Bra102309,UNd12,Bra102309,0.603766821540296
Bra008637|Bra102309,Bra008637,Bra102309,-0.8275069352726407
Bra028216|Bra102309,Bra028216,Bra102309,-0.8236741651737446
Bra013968|Bra102309,Bra013968,Bra102309,-0.851435623418086
Bra008575|Bra102309,Bra008575,Bra102309,-0.881088498862507
Bra013959|Bra102309,Bra013959,Bra102309,-0.8386568454787079
Bra005332|Bra102309,Bra005332,Bra102309,-0.8233305864434748
Bra008577|Bra102309,Bra008577,Bra102309,-0.9021025307316587
Bra008637|Bra008859,Bra008637,Bra008859,0.6307731653735018
Bra005332|Bra008859,Bra005332,Bra008859,0.6431909200895144
Bra008577|Bra008859,Bra008577,Bra008859,0.6397185060696582
UNHmax11|Bra006755_Bra006756,UNHmax11,Bra006755_Bra006756,-0.599897102731147
UNr12|Bra029111,UNr12,Bra029111,0.44890289024645524
Bra026943|Bra029111,Bra026943,Bra029111,-0.8431522853647501
Bra029111|Bra022867,Bra029111,Bra022867,-0.6827122529803591
UNiD12|Bra008797,UNiD12,Bra008797,0.635839674549938
Bra008859|Bra008797,Bra008859,Bra008797,-0.6794853973519944
Bra013968|Bra008566,Bra013968,Bra008566,-0.757413876165608
Bra005332|Bra008566,Bra005332,Bra008566,-0.7054637238193082
Bra102309|Bra008566,Bra102309,Bra008566,0.7330051995125182
Bra008859|Bra008566,Bra008859,Bra008566,-0.6432405937287
UNr12|Bra023094,UNr12,Bra023094,-0.45069243162237405
Bra013959|Bra008840,Bra013959,Bra008840,-0.6209619001963269
Bra008859|Bra008840,Bra008859,Bra008840,-0.6182807509766405
Bra008797|Bra008840,Bra008797,Bra008840,0.754027162146362
Bra029111|Bra023009,Bra029111,Bra023009,0.6187882273988594
Bra023094|Bra023009,Bra023094,Bra023009,-0.6017182576001177
UNiD12|Bra008734,UNiD12,Bra008734,-0.5889920485363477
UNd12|Bra008734,UNd12,Bra008734,-0.6024310652936018
Bra008637|Bra008734,Bra008637,Bra008734,0.7255090797551245
Bra028216|Bra008734,Bra028216,Bra008734,0.7179329003761891
Bra013968|Bra008734,Bra013968,Bra008734,0.610522486802762
Bra008575|Bra008734,Bra008575,Bra008734,0.639592905499454
Bra013959|Bra008734,Bra013959,Bra008734,0.6517387948975445
Bra005332|Bra008734,Bra005332,Bra008734,0.6989171749467933
Bra008577|Bra008734,Bra008577,Bra008734,0.6481914128434814
Bra102309|Bra008734,Bra102309,Bra008734,-0.6216710033765799
Bra008859|Bra008734,Bra008859,Bra008734,0.7011991337786636
Bra008840|Bra008734,Bra008840,Bra008734,-0.5946936285199464
UNd12|Bra036465,UNd12,Bra036465,0.6374859293431425
UNd12|Bra017468,UNd12,Bra017468,-0.5767121768738465
UNHmax12|Bra025497,UNHmax12,Bra025497,-0.6181417124440888
Bra006755_Bra006756|Bra025497,Bra006755_Bra006756,Bra025497,0.6661850710386107
UNiD12|Bra008684,UNiD12,Bra008684,-0.6299948301170645
UNr12|Bra023056,UNr12,Bra023056,-0.4488028363488972
Bra026943|Bra023056,Bra026943,Bra023056,0.6537228619907325
Bra022867|Bra023056,Bra022867,Bra023056,0.68624949987708606
Bra023094|Bra023056,Bra023094,Bra023056,0.6701992305848408
Bra023009|Bra023056,Bra023009,Bra023056,-0.6402667509045533
Bra023094|Bra012899,Bra023094,Bra012899,-0.513470854333272
Bra023056|Bra012899,Bra023056,Bra012899,-0.514575290057781
UNiD12|Bra008750,UNiD12,Bra008750,0.6079829766206342
UNd12|Bra008750,UNd12,Bra008750,0.6170197262241361
Bra008797|Bra008750,Bra008797,Bra008750,0.6722953767714702
Bra008566|Bra008750,Bra008566,Bra008750,0.6869918436425404
Bra008840|Bra008750,Bra008840,Bra008750,0.7322936767297747
UNHmax12|Bra014655,UNHmax12,Bra014655,0.6132810292497279
UNHmax11|Bra039792,UNHmax11,Bra039792,-0.5792705385584715
Bra025497|Bra039792,Bra025497,Bra039792,0.6261819037104751
Bra025497|Bra018973,Bra025497,Bra018973,0.7147776142625287
UNHmax11|Bra025250,UNHmax11,Bra025250,-0.6402993975373411
UNHmax12|Bra025250,UNHmax12,Bra025250,-0.6667465844237934
Bra025497|Bra025250,Bra025497,Bra025250,0.6742596371806937
Bra018973|Bra025250,Bra018973,Bra025250,0.7934666833651848
UNHmax11|Bra017236,UNHmax11,Bra017236,-0.6209897142004626
Bra039792|Bra017236,Bra039792,Bra017236,0.6843586648019149
UNd12|Bra039532,UNd12,Bra039532,-0.6286714808498821
UNiD12|Bra002411,UNiD12,Bra002411,0.6359562131643344
Bra008840|Bra002411,Bra008840,Bra002411,0.6505082579271405
Bra008750|Bra002411,Bra008750,Bra002411,0.6738171808194695
Bra039792|Bra038899,Bra039792,Bra038899,0.7233736675337178
