MR_gene,MR_Cutoff,eQTL_start,eQTL_end,eQTL_candidate,min_eQTL_LOD,max_eQTL_LOD
Bra002255,50,10755931,11427369,Bra102302,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002190,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002189,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002188,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra102303,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002187,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002186,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002185,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002184,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002183,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002182,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002181,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002180,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002179,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002178,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002176,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002177,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002175,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002174,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002173,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002172,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002171,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002170,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002169,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002168,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002167,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002166,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002165,17.320546828872466,18.82201123478325
Bra002255,50,10755931,11427369,Bra002164,17.320546828872466,18.82201123478325
