"","MEmidnightblue","MEpurple","MEroyalblue","MEsalmon","MEcyan","MEgrey60","MEdarkred","MEdarkgreen","MEblue","MEbrown","MEturquoise","MEdarkturquoise","MEblack","MEyellow","MEdarkorange","MEtan","MEwhite","MEmagenta","MEred","MEgreen","MEpink","MElightyellow","MEorange","MElightcyan","MElightgreen","MEdarkgrey","MEgreenyellow"
"RIL_123_UN",-0.0795584868828119,-0.067861253841567,0.013332360028398,0.0563924076010753,-0.0953379344376228,-0.0733901854180212,0.0715374379013969,-0.0938791183597879,0.0710761292667113,0.0770194032683907,0.160412294788893,0.0601486451746564,-0.0421811293973784,-0.0714304200884654,0.0595295611037942,-0.072724091438664,0.0921949642464878,0.0209470364684065,-0.103887826781458,0.00464090475972854,-0.0143805643843734,-0.0751731745632443,-0.0875127404915849,-0.0863865786516184,0.0864478197084694,0.0723313310752209,0.0885846860400142
"RIL_124_CR",0.0507824072992633,0.087489814905469,-0.0497296559629545,0.0602972172816002,0.0525430711478102,0.0606385418825308,-0.0194863661302054,-0.0708286040267704,-0.0293542136880775,-0.0257560845093378,-0.0432764760819629,0.0715581155183927,-0.0723379554093473,0.0174887445506191,-0.05556311619228,-0.0476055400165684,0.081912286696539,-0.00781506442873708,0.0889886567731323,0.0378889872246982,0.0237644128701444,0.0254977293239335,-0.026818066877641,-0.0629108113818785,-0.0443327156549458,-0.0681661025814363,-0.0156450080422493
"RIL_124_UN",0.0421286679026733,0.0829461919945048,-0.0716600020831576,0.0542135379814356,0.0425045528812024,0.0485886251263964,-0.0368530014970475,-0.0951277395881818,-0.1011621845508,-0.133688202325798,-0.00649593830262071,0.0687756091319099,0.0751228194642324,-0.0222929594530359,-0.0590184115998656,-0.0780435051811037,0.0745619165362502,-0.0509595945601064,0.0409968521819656,-0.00791212727722028,-0.0649784000793422,0.0114315574261229,-0.0772725910915536,-0.0739948595543807,-0.0653782842380552,-0.0843375381697913,-0.0476383957765544
"RIL_131_CR",0.0288323726802674,-0.0635334673499585,0.0120872369952536,0.0337625622425823,-0.0823784996704035,-0.0397750509636735,0.0384945146745887,-0.0822892489777311,-0.0108388590828817,0.0840690089821758,0.0971039852620421,-0.0435904159260535,-0.0204118977790116,-0.0584818673720067,0.0467116243260087,-0.0433529302239808,0.0760792673905615,0.0276472350063542,-0.063770097817065,-0.070115893394918,0.030843253487291,-0.0352989937389199,-0.016211846092774,-0.0795110561109355,0.0833379027460392,0.0555952833641742,-0.0236431784557966
"RIL_131_UN",0.0264040492685096,-0.0771051039989477,0.0171414411174587,0.0409292609061699,-0.0926756338941273,-0.0686278882889393,0.0362831218512654,-0.0976203270004801,-0.0302996898551418,0.0238132869837636,0.112620520066929,-0.0567453230675612,0.0768824007786222,-0.0171796344688933,0.0575374949690297,-0.0595635210253532,0.0875395356734933,0.00747296723268657,-0.108255620556952,-0.0683771016069424,-0.0481801725448912,-0.0463205832126645,-0.0233709635695676,-0.0842001004205128,0.0846490468255064,0.0637310494901419,-0.0426972254721513
"RIL_136_CR",0.0793617618885978,-0.0568817570640919,-0.0525772908704999,0.0697613961429654,0.060003544077585,-0.0637461760330424,-0.0716597859977741,-0.0486422040513474,0.0507983010354344,0.0473373324731837,-0.0258505942194651,-0.0542424366860011,0.0272910397304921,0.0421674668159886,0.0622508849623947,-0.069088987611445,0.069092791646133,-0.0481521422193523,-0.0259518187478856,0.017608629292934,-0.0170024228271989,0.0756334858081945,-0.0503436270221452,0.0748508658265122,-0.0531260827538785,0.057536895139487,-0.0593810212493611
"RIL_136_UN",0.0741095593241682,-0.0543931506198353,-0.0475924051940593,0.0726688811392481,0.0617860985549105,-0.0544186864976728,-0.0680930097492881,-0.0472871961681561,0.0740340598919221,-0.00811432454279664,-0.0423120456863497,-0.0465280435884989,0.0670751113843377,0.0446064035715981,0.0638882222587145,-0.0604207275112058,0.0676237221111334,-0.102446528052346,-0.0308228301862642,0.0533114363948718,-0.0818789380246172,0.0745365410353129,-0.0459411257432289,0.0748706393109157,-0.0514282212828595,0.0645277951994737,-0.0560600743236644
"RIL_143_CR",-0.0621821797091785,-0.0650214831355687,-0.0446399407532871,-0.0672360666817232,0.0384463480856146,0.0812068603419078,0.052588441316737,-0.0273986704566988,-0.0163608821673922,-0.0501825983756266,-0.0700032457638234,0.0798514102968616,0.00727063004373391,0.0968585328804523,-0.0820160228031209,0.062374873587841,0.0680272938709405,-0.0237010021301691,0.0442255048081638,0.0357982399149906,0.018837211160929,-0.05708145439345,0.0863429285454373,-0.0436187525908517,-0.0455121877465582,0.0615235935857873,0.0706670931143429
"RIL_143_UN",-0.0689047280235851,-0.0769990261128299,-0.0490796741732604,-0.0713151332749445,0.0350244790328764,0.0853005109536882,0.0549364655197834,-0.0393562094954233,-0.0612521336107266,-0.111639185100594,-0.0770140161817808,0.0957688130964436,0.0236693816516126,0.11691858556619,-0.0973815631876603,0.0611355653948198,0.0713993785046526,0.0132774697300968,0.0586261217532532,0.00972846321299114,-0.0649390311989063,-0.0596185770124801,0.0830618064780235,-0.046882827761941,-0.0504835671074813,0.065221591090432,0.0716163754699793
"RIL_146_CR",0.0561274087026257,0.0562014209142868,-0.0437376911818864,0.0612297657134465,0.047490672358231,-0.00799574664694593,-0.0390009339756604,-0.0495312015531704,0.0261684117371131,0.0231646345650863,0.0144199387558531,0.0780686349661405,-0.0206890907908636,0.0341566564512045,0.0642921733449072,-0.0175671192296447,0.0999937061358743,0.0755837659026214,0.0372078629837704,0.0591529044629666,0.105105858462378,0.082241804698752,0.0743599738964315,-0.0309369705693003,0.0180164124328775,-0.0249218412960616,0.000299952385856871
