"","MEbrown","MEturquoise","MEred"
"RIL_150_CR",0.147306837441224,-0.0503975498660937,-0.0434279482571216
"RIL_150_UN",0.0169166243303816,-0.0520352391636326,0.0206741780453032
"RIL_154_CR",0.00364632584489332,-0.0183416165399375,-0.000281599819396745
"RIL_154_UN",-0.0899661217359171,-0.0682553241590713,0.0891068451630461
"RIL_155_CR",-0.0528163263240678,-0.0855116040722351,0.0606603438990085
"RIL_155_UN",-0.0885667547363893,-0.086984497491729,0.0677252454467488
"RIL_16_CR",0.0612235384332231,-0.0548251007070195,0.0093256374425385
"RIL_16_UN",0.0114447638573721,-0.0825485709866527,0.0600351539515888
"RIL_164_CR",0.161576839071475,0.160747816585555,-0.0883925021497475
"RIL_164_UN",0.0816179239255692,0.120723816832296,-0.089926164156544
"RIL_166_CR",0.0393480277703003,-0.08518552342527,0.0202462487181555
"RIL_166_UN",-0.00874199612167502,-0.067266950461697,0.0624504756365934
"RIL_171_CR",0.0783920655136351,-0.0268710589392242,-0.0424827622352564
"RIL_171_UN",0.0214991479107811,-0.0745555090077664,0.0152151601312254
"RIL_174_UN",-0.0494997490963779,0.0232190763476098,-0.0222852866804496
"RIL_175_CR",0.0768384045109539,0.00411090383007933,-0.0321097360839719
"RIL_175_UN",-0.012046421173393,-0.0604151556936109,0.0162610980485666
"RIL_176_CR",-0.105426586273359,-0.0180272301299459,0.0532990644573666
"RIL_176_UN",-0.112319599208186,-0.0115553437660491,0.0216433971949455
"RIL_182_CR",-0.00257474570219035,-0.0562314193027271,0.0727888103640055
"RIL_182_UN",-0.0576105698029267,-0.0381043137319057,0.0734198107415574
"RIL_183_CR",-0.0250960179453473,-0.0383370936313884,0.0115463849497734
"RIL_183_UN",-0.0954533290030514,-0.0965663539959939,0.121976503606663
"RIL_184_CR",0.0161631519119207,-0.000402033020396371,0.0319561660904933
"RIL_184_UN",-0.0129980849434873,0.025839550563908,-0.0655112714735775
"RIL_187_CR",-0.0583291548351395,0.0327668007650076,-0.0400259129391518
"RIL_187_UN",-0.0585564777055172,0.0431064947106614,-0.0460218771751277
"RIL_190_CR",-0.0530405118859775,-0.0840265998900167,0.116925745096218
"RIL_190_UN",-0.0217619416102297,-0.0154098729747425,0.0374099311834354
"RIL_193_CR",0.00176709237684515,-0.00873972850015519,0.0429913579002189
"RIL_193_UN",0.0197208344367074,0.0189811792796664,-0.0141882144644586
"RIL_198_CR",0.00757147299383803,-0.00135506575364752,0.0178366433993129
"RIL_198_UN",0.025869212713743,0.0159313531512363,-0.0513389082509929
"RIL_199_CR",0.0168410843096678,0.0292171594227665,-0.0121298449852091
"RIL_199_UN",0.00920928772665166,-0.015673638304842,0.014627760438709
"RIL_2_CR",-0.0521024718845708,-0.0126317901936661,0.0425231709685693
