"","MEdarkmagenta","MEdarkred","MEnavajowhite2","MElightcyan1","MEpurple","MEbrown4","MEcoral1","MEgrey60","MElavenderblush3","MEthistle2","MEdarkslateblue","MEred","MEyellow","MEpaleturquoise","MEcyan","MEmediumpurple3","MEhoneydew1","MElightpink4","MEwhite","MEbrown","MEdarkturquoise","MEroyalblue","MEplum1","MEmidnightblue","MEsteelblue","MEdarkorange2","MEfloralwhite","MEpalevioletred3","MElightsteelblue1","MEsalmon4","MEsienna3","MEdarkorange","MEthistle1","MElightyellow","MEskyblue","MEyellowgreen","MEdarkseagreen4","MEgreenyellow","MElightgreen","MEblue","MEmagenta","MEdarkolivegreen","MEviolet","MEcoral2","MEorangered4","MEskyblue3","MEdarkgreen","MEorange","MEtan","MEmaroon","MEsaddlebrown","MEdarkgrey","MEivory","MEantiquewhite4","MEpink","MEbisque4","MEplum2","MEgreen","MEblack","MElightcyan"
"RIL_143",-0.092902859262387,-0.095521498269956,0.0234620812103599,-0.0773550977756208,0.137059921958562,0.111129499167549,0.086609345088915,-0.0679077663095589,-0.0134656147372125,-0.110282021531816,0.0916839291843294,-0.00441777567242576,-0.0954755997908589,0.0203463739188386,0.132985468864351,-0.00466211175952219,-0.0997427557547864,0.0799639730374511,-0.114215294282496,0.0597830240281253,-0.0452356548874881,0.027030545678459,-0.111681304875096,-0.0931165193954712,-0.0916183712749198,-0.0851773818380727,-0.091986976653888,-0.122942372725238,-0.0912845795041562,-0.111261402323186,0.0846071353398514,-0.112140871239087,-0.1026246542547,-0.0647914795375163,-0.0956711785360821,-0.0317633922341827,-0.102630091318274,-0.0448591614675515,-0.214277770854252,-0.0926243116037605,-0.0420102078216997,0.0283993963596296,-0.0602622151934629,-0.100734357229478,-0.092552237179325,-0.0867945563324057,0.130652656430309,0.109218803372165,-0.102769798703354,-0.0418444241283824,0.10105622653515,0.0972047835906595,0.111254884585647,0.1023249208942,0.11633117218334,-0.0781334511185325,-0.0845030877687716,0.0443477616927158,0.182458181038267,0.11186483860745
"RIL_146",0.108746242053393,-0.0952731228751901,-0.0734936635654338,-0.0904947971673903,-0.0589167374123144,0.0893798654706996,0.114624171898681,-0.150545428320416,-0.122496233824472,-0.101331976128521,0.0845630322144567,-0.0869570151307251,-0.117753487111265,0.0199058665144252,-0.0842518405420974,-0.112062777757894,-0.0548703430262763,-0.104112535914739,-0.109434007999315,0.0522407464943423,0.079797586463613,0.0963601574857617,-0.104819140537722,0.0904265879429714,-0.0974909321699263,0.102944009789655,0.107248250334682,-0.0900179984471031,0.100923274117319,0.0739732681677193,-0.0415198052191331,0.0750163224700288,0.00591867350493746,-0.0900900863782815,-0.0947275582355359,0.10596365215486,0.0007691318798097,0.0286295555985677,-0.00678803209933245,0.0164680426783891,-0.00953057501747499,-0.097439307143692,-0.0839781729664907,-0.0372149116866974,-0.0943194400622669,-0.090483194765494,0.0932271853298896,0.103346304281115,0.0926587897660417,0.0485543595149663,0.109030034584162,0.0971667673757943,0.100106382277287,-0.10042498760149,-0.0779901051443469,-0.0821797577424488,0.10002995544337,0.0553514030110468,0.000987475735681037,-0.00284230459010866
"RIL_147",-0.0990916756765837,-0.102721253015985,0.0863624692496727,-0.0794189797819156,0.135204650863106,0.0831878663045308,0.0898758541410761,0.0362670259337358,-0.122811269122895,0.0844074258087026,0.0341832772811111,0.0179904074688591,0.04762860059517,0.0283740380105192,-0.0737726235138212,-0.0924896687041158,-0.0585492529525044,0.0842862152566,0.0754987197360371,-0.001059181224902,-0.0358688464214297,0.00527134404352086,-0.108206553605727,-0.0830764711866739,-0.0997738103516704,0.0998944783447122,-0.0902459311091971,-0.128125851836532,0.0339319345462307,-0.115413942120256,0.0935930073975539,-0.119274879096113,-0.0947736566912522,0.109303116122605,-0.10148252608617,-0.0825698990650463,-0.0459785602479196,0.00942800591217391,-0.00339167654011967,-0.0165162776884686,-0.0401304285041365,-0.0999487610946417,-0.0775775007911901,0.124131443774907,-0.101568249024504,-0.00466431260552866,-0.0709961078336521,-0.0856712205905373,-0.101696415507357,-0.10100761495169,-0.0901932353631435,-0.108082082720959,-0.0979221583034797,0.105232087359793,-0.0790548562495149,-0.0876309664449752,-0.0995472894376044,0.0749646692155251,-0.0715600805924754,-0.0708364667493587
"RIL_15",-0.0222849864675464,-0.107482997268605,-0.111064685166991,0.1213251188925,-0.0586461815025873,-0.105442980527772,-0.0860189228933615,-0.115707266205078,0.0775924111714506,0.0922371757352535,0.0924289190674321,-0.0342699714889845,-0.0718838930429996,-0.372074080628231,0.0424467931739887,-0.123122365781611,0.125863910468688,0.0899270522625216,0.0813659454830915,0.0766949373207188,0.144074802092849,0.103524505771205,0.0867722450636029,0.116388900735868,0.0922392254032966,0.0923433049675714,0.112219925001444,0.0835241660511561,0.0736928238873837,0.086524998806557,-0.143986909485635,0.0886004841922289,0.102868632398657,0.0639189311073108,-0.00427888401739445,-0.0930962290615929,0.00776859929100441,-0.0813390848083499,0.0274176908752839,-0.0867067328095437,-0.0599675863196788,-0.0988839740351912,-0.0460450936332069,-0.0221471871875159,-0.0999110945232639,0.109041143537808,-0.0769689943817719,0.0205075401128035,-0.0393341874277275,-0.0828691570814193,-0.0811501734430812,-0.0901211099757842,-0.0848132116936107,-0.0947007898691936,0.103445771448873,0.115870890802775,0.0947688347514886,0.0702150720993125,-0.00834987836553363,0.0951438696358437
"RIL_150",0.121548829949596,0.0922868225058264,0.0822632495645624,-0.0699358351624554,-0.0760623888778979,-0.106214585988506,-0.0877563527981147,0.0558150065622289,0.0887415467687588,0.0864339666364314,0.0961303275047466,0.0550039482289689,0.0405698012486541,0.0349158944336153,0.132559169865915,0.127752886637579,0.112037125759271,0.0747390134687723,0.0762315989386671,0.0627902283948701,0.0411473560801782,-0.0537609109000555,0.097739477728927,0.113585316361683,0.10396517727746,-0.098722567277205,0.102832228239769,0.0941135975680491,0.08162451691143,0.0973116088857504,0.0779612308389206,0.0891344209165517,-0.0827500650584098,0.1126612174065,-0.110106771064,-0.0920112759207598,-0.101690620831683,-0.055477387233717,0.0227545297546795,-0.0614843159100776,-0.0245695482386002,-0.0901390748296402,-0.0865546048985442,0.128144075780578,0.0494670095232016,-0.090429061389609,0.0959764712024833,-0.0901346363334757,0.0757358079987834,-0.107498338093225,-0.0841187738006157,-0.112373193417892,-0.0932499647828935,-0.113349332772105,-0.0880453733890886,-0.0730414156226178,-0.10386124755121,0.0450087727079116,-0.0595647962885471,-0.042112289849272
"RIL_154",0.0902410650309491,0.0914015570776126,0.0808041498167772,-0.0863629942221391,0.0753939465304083,0.0978795149014468,0.106573887680635,0.0279216493771585,-0.120764073170321,-0.112484615989486,-0.0984338316895706,0.0264815937121827,-0.0860906737343712,0.0353304188762334,-0.0810917298086637,0.0219449993877247,-0.0812425366827033,0.0813909882886481,0.0762021190802411,0.112669748262818,0.0126842567053452,0.02369644101201,0.0938526995299394,0.08934719721584,-0.0684558955765998,-0.0874592921940772,-0.0850369321291981,0.0798062462161309,-0.133973594637909,0.0774761379663627,0.0599502703141631,-0.0994586940171783,-0.0869749949509465,-0.0886695711162249,0.0243279488807469,0.106671826724208,-0.0920073727513589,-0.0622120914917747,-0.0943244747639102,-0.0828243915032958,-0.0532159482095402,0.115539360910207,-0.0635271702017833,0.113460767784483,-0.0878327604418869,-0.0837820341465516,0.0371756677241555,0.104691401434852,0.100315285627621,0.0979499233618822,-0.0879558681061274,0.08812946700048,0.0932254705011798,0.0848423084194914,-0.0908018292235742,-0.0829206714056287,-0.0776232103904287,-0.133933818162987,-0.0307162672403817,-0.0133429221026397
"RIL_155",-0.0768340017913682,0.089277079819246,0.0724159825440871,0.115355412388249,0.130430962081531,-0.00931141797953653,0.0999203879691865,-0.0734344287207597,-0.114644215760241,-0.10316789566859,-0.101477914479922,0.0397761874451402,-0.0845497768160956,0.0253384251809532,-0.021440580417784,0.05597748915274,0.116150254721352,0.0831954708236026,0.0861791175187342,0.076718213344172,0.136197579397243,0.109573753203081,0.00806664273300771,-0.0270846201564385,0.0923152042414959,0.0549592996063111,-0.0107752295996165,-0.0241654954056803,-0.123781558804869,-0.104406150334855,-0.113897538549966,-0.101326133630913,0.0854369612650445,-0.0759231229053317,-0.107718697166098,-0.0949044456058574,-0.107204881940331,-0.0784173788633352,-0.148990366980631,-0.112865722543697,-0.0583379624461531,-0.106895787651612,-0.0704982909707313,-0.109423408304492,0.00989449381748188,-0.0967877481010311,-0.073938973026787,-0.0897898313686875,-0.104925157511011,0.0180690294362798,-0.0876536523732965,-0.0853265266692163,-0.0767441246518793,0.104561948278917,0.124903037669253,0.11249187009428,0.115478170258227,0.0770249706391362,0.0764259833764495,0.00984886713647029
"RIL_16",0.118912909984983,0.0881328825347816,0.0860315676563319,-0.0770833856718677,-0.0768924786403518,-0.103756679782734,-0.0804315541765456,0.0574286613665098,0.0963163704063288,0.0868638101741421,0.0994624073164167,0.0280264437027173,0.034494203802158,0.0345305638494388,0.13211802263984,0.110732900876535,0.109745665726079,0.0780889413414251,0.0821580288781527,0.0874583935627891,0.0831478498751839,0.0443101626291138,0.110113812466686,0.111259824876601,0.107826509199701,-0.0986873886048273,0.105822910935434,0.0765748286106441,0.0886834411056455,0.0912793507552234,0.0704941472606745,0.08604519206021,-0.0846235287851988,0.099861686863057,-0.105135022261994,-0.103898295599866,-0.112599290245615,-0.111670108437215,-0.0135614672458632,-0.0870307922430681,-0.0340995558957271,-0.101466133021424,-0.0964141859577155,0.12058157241331,0.108279707282848,-0.0889290223839816,0.0888347531567958,-0.0845997504545837,0.072717421737071,-0.0920243664379812,-0.0781831326078809,-0.110967200148548,-0.0981561526502652,-0.123321075589953,0.0874054931335923,-0.0852495072906438,-0.0976612406865436,0.046377119533925,-0.0324601538899107,-0.0071087783527142
"RIL_164",-0.078094430925791,-0.11916558447546,-0.132809268246182,0.0957841967686973,-0.0788067837545582,-0.0580570493619614,-0.100592200230358,-0.157465781626828,-0.113435473877789,-0.110656672142395,-0.0688779903897547,-0.0276922977659348,0.113249044322329,0.0254194525911869,-0.0919420802298627,-0.111916741571178,0.0963116518178876,0.102553663648233,0.0958969663847803,-0.153056897308323,-0.0527329957388735,0.0506629586328578,-0.0256057584373015,0.0915574399392819,-0.094358427595437,0.124504355154379,0.0966057282089926,-0.098443898962485,-0.0689437900451944,-0.154711681310916,-0.092498530084873,0.0918646136889973,0.102039502445155,-0.074277234353451,-0.102297667462689,-0.0747538131029112,-0.0446834453517812,0.0852641442118381,0.113490234677553,0.15602879830828,0.0285108990909356,0.032781621435182,0.0966468231789461,-0.0298990885779752,-0.0888224151964888,-0.0267532412270711,0.121485211793905,0.123199855622128,-0.0638407537757957,-0.0813143464031742,-0.0986296882813843,-0.092048413572197,-0.0330081362059553,-0.0405941054000642,0.132021128055299,0.111523969345535,0.114549198801049,0.0484682732465964,-0.0250385375992718,-0.0218500251390922
"RIL_166",-0.0953059622841214,-0.0508660850213026,0.0890771117749814,-0.0413923190978914,-0.0592029700485788,0.108339736899408,0.115807573039281,-0.116753263623934,-0.124920945630123,-0.103613178888339,-0.0080496551258114,0.0548394829511855,0.0303794708373829,0.0336598927509196,0.115872614982605,0.115262896196249,0.124803931742004,0.0805316851686306,0.0838918404407254,0.10139921373835,0.0335446989420714,0.00243927929089628,0.103456781915571,0.107982970726251,0.0942264816433264,-0.02712633788786,0.106896131406709,0.0787385136925136,-0.130441617472853,-0.0279882184014851,0.0330466970082202,0.0326077833107215,0.10106192181515,0.105151884634558,-0.109515902314515,-0.0804941955348194,0.106536443000575,-0.0828884462611458,0.00658302139324831,-0.0810752078195477,-0.0397925723654755,0.0657242675692026,-0.077467234145545,-0.0945334827367787,0.0727965981371927,-0.0909683911262312,-0.0661104502839314,0.0925470711457178,0.0952935627932314,0.0916726730612411,-0.0826493372205509,-0.0534804827734617,0.097638261784834,-0.058091569213526,-0.0779192969237987,-0.0795611514113198,0.0963655977271773,0.0760839562360213,-0.0578402965658318,-0.0117747856514869
"RIL_171",0.0794820087638466,0.0770879910267112,-0.101421996869076,0.127206072484436,-0.0393665631294742,0.0992675503026039,0.10359606662058,0.074952944265299,-0.112712672946607,-0.0987501564578345,0.0909838446583824,0.107272383734833,0.0819204591230302,0.0297508164387276,-0.0690220311822444,0.0432685373244305,0.118509304803443,0.0774751613060787,0.0719504114749916,0.0420101443011735,-0.1261954834781,-0.0713737682600596,0.102832455547276,0.115924322357921,0.109774772226368,0.106958381139625,0.0868308640222661,-0.110467257035863,-0.0503731317849062,-0.0951303041208037,-0.125593084048106,-0.116354462447408,-0.0838929947410608,0.0202040759768705,0.0929711089815326,0.101177815528993,-0.102306533330648,-0.103607176137935,-0.0331574050077514,-0.0793831070352423,-0.0255970950470849,0.061591882251757,0.0548898428371633,-0.0544708337615569,0.106701200649359,0.116027015557953,-0.0796334624402927,0.0088228282209128,0.0898627504636989,-0.0891147966100291,-0.0751166044277891,-0.0937746190411588,0.091593822027466,-0.110757322252501,0.0375226285182951,0.11118587219727,-0.0947203587690428,0.0818900267143541,-0.0594789100776215,-0.0158040441472445
"RIL_174",0.117083147222444,0.0883407236808249,0.0787024107797742,-0.0839375346307451,-0.0685438684476458,0.0917128522857677,-0.0675117139836034,0.0683411513677625,0.0103388278429941,-0.106603003473013,0.107705450677658,-0.00257988230187378,0.0160262317399896,0.0315172842665443,-0.067621715133976,-0.0917671770659072,-0.0941903370473212,-0.103580947310553,-0.0041894698384566,-0.0541630927293921,-0.063099176845012,0.022461992933115,-0.109127307961384,-0.0794985664863157,-0.0943963072626556,0.115634223504255,0.0884685677784318,-0.101510770027876,0.0830927614853577,0.0711733228305731,-0.00891257252349383,-0.0442420243729865,-0.0918521329156023,-0.0949468293114601,0.109692968236733,0.106809971508392,0.000174894479940061,0.0854470659422722,-0.0247762662927206,0.0221696286741081,-0.0199847200955141,-0.0912565249000288,-0.0782172713156754,-0.100460835526768,0.0882399132259764,0.110417251295917,-0.0624870298131946,-0.107775722474125,-0.0998220144591728,0.0954756202054828,0.101491037766349,0.0180694037969722,0.0967883951894678,-0.09587436019339,-0.094221289639857,-0.0845040441029252,-0.0832647611394961,0.0437650718277926,0.0461565438659888,-0.033463477293872
