graph,edge,MR_Cutoff,node1,node2,cor
blup.mr.graph.UN.2012.50,Bra008577|Bra008859,50,Bra008577,Bra008859,0.6397185060696582
blup.mr.graph.UN.2012.50,Bra008577|Bra100024,50,Bra008577,Bra100024,-0.6552856279475446
blup.mr.graph.UN.2012.50,Bra008577|Bra102309,50,Bra008577,Bra102309,-0.9021025307316587
blup.mr.graph.UN.2012.50,Bra008635|Bra008711,50,Bra008635,Bra008711,-0.6772062450790622
blup.mr.graph.UN.2012.50,Bra008635|Bra008734,50,Bra008635,Bra008734,0.714188441094533
blup.mr.graph.UN.2012.50,Bra008635|Bra008840,50,Bra008635,Bra008840,-0.6112876933019186
blup.mr.graph.UN.2012.50,Bra008637|Bra008635,50,Bra008637,Bra008635,0.9027481895873312
blup.mr.graph.UN.2012.50,Bra008637|Bra008711,50,Bra008637,Bra008711,-0.7393852494906711
blup.mr.graph.UN.2012.50,Bra008637|Bra008840,50,Bra008637,Bra008840,-0.5875649439900587
blup.mr.graph.UN.2012.50,Bra008637|Bra008859,50,Bra008637,Bra008859,0.6307731653735018
blup.mr.graph.UN.2012.50,Bra008637|Bra013968,50,Bra008637,Bra013968,0.8353966828556114
blup.mr.graph.UN.2012.50,Bra008637|Bra100024,50,Bra008637,Bra100024,-0.6531270434670865
blup.mr.graph.UN.2012.50,Bra008637|Bra102309,50,Bra008637,Bra102309,-0.8275069352726407
blup.mr.graph.UN.2012.50,Bra008711|Bra008734,50,Bra008711,Bra008734,-0.6694013765282395
blup.mr.graph.UN.2012.50,Bra008711|Bra008750,50,Bra008711,Bra008750,0.6377491813837618
blup.mr.graph.UN.2012.50,Bra008711|Bra008840,50,Bra008711,Bra008840,0.6388049614175387
blup.mr.graph.UN.2012.50,Bra008750|Bra002290,50,Bra008750,Bra002290,0.6824531391552561
blup.mr.graph.UN.2012.50,Bra008797|Bra002290,50,Bra008797,Bra002290,0.7586463049486193
blup.mr.graph.UN.2012.50,Bra008797|Bra002411,50,Bra008797,Bra002411,0.6648484968121716
blup.mr.graph.UN.2012.50,Bra008797|Bra008684,50,Bra008797,Bra008684,-0.6536795259973718
blup.mr.graph.UN.2012.50,Bra008797|Bra008750,50,Bra008797,Bra008750,0.6722953767714702
blup.mr.graph.UN.2012.50,Bra008797|Bra008840,50,Bra008797,Bra008840,0.754027162146362
blup.mr.graph.UN.2012.50,Bra008797|Bra008931,50,Bra008797,Bra008931,0.739030285156235
blup.mr.graph.UN.2012.50,Bra008840|Bra002255,50,Bra008840,Bra002255,0.6014610052546105
blup.mr.graph.UN.2012.50,Bra008840|Bra002290,50,Bra008840,Bra002290,0.7196821045552161
blup.mr.graph.UN.2012.50,Bra008840|Bra008734,50,Bra008840,Bra008734,-0.5946936285199464
blup.mr.graph.UN.2012.50,Bra008840|Bra008931,50,Bra008840,Bra008931,0.711973461156171
blup.mr.graph.UN.2012.50,Bra008859|Bra008797,50,Bra008859,Bra008797,-0.6794853973519944
blup.mr.graph.UN.2012.50,Bra008931|Bra002290,50,Bra008931,Bra002290,0.7967004889553845
blup.mr.graph.UN.2012.50,Bra008931|Bra002411,50,Bra008931,Bra002411,0.7745579959024615
blup.mr.graph.UN.2012.50,Bra008931|Bra008750,50,Bra008931,Bra008750,0.7239116763813823
blup.mr.graph.UN.2012.50,Bra013959|Bra002255,50,Bra013959,Bra002255,-0.6408824716857447
blup.mr.graph.UN.2012.50,Bra013959|Bra008635,50,Bra013959,Bra008635,0.8037119669921582
blup.mr.graph.UN.2012.50,Bra013959|Bra008711,50,Bra013959,Bra008711,-0.6775710831341547
blup.mr.graph.UN.2012.50,Bra013959|Bra008840,50,Bra013959,Bra008840,-0.6209619001963269
blup.mr.graph.UN.2012.50,Bra013959|Bra100024,50,Bra013959,Bra100024,-0.6664836163678368
blup.mr.graph.UN.2012.50,Bra013959|Bra102309,50,Bra013959,Bra102309,-0.8386568454787079
blup.mr.graph.UN.2012.50,Bra013968|Bra002255,50,Bra013968,Bra002255,-0.5985657723327219
